Borough,Geographical  District,Admin District,ATS Code,LocationName,Grade Level,BldgID,Bldg Name,Address,Ownership,Room Number,sqft,Room Function,Shared with other schools?,Insidevoutside,Space used for any other purpose beside PE,_location,_latitude,_longitude,_status,_bin,_bbl
Manhattan,1,1,01M015,P.S. 015 Roberto Clemente,Elementary,M015,P.S. 15 - MANHATTAN,333 EAST 4 STREET,DOE Owned,GYM.,3243,GYMNASIUM,TRUE,Inside,FALSE,"333 EAST 4 STREET, Manhattan, New York, NY, USA",40.721882,-73.978712,Checked,1004415,1003740020
Manhattan,1,1,01M019,P.S. 019 Asher Levy,Elementary,M019,P.S. 19 - MANHATTAN,185 1 AVENUE,DOE Owned,GYM,3942,GYMNASIUM,TRUE,Inside,FALSE,"185 1 AVENUE, Manhattan, New York, NY, USA",40.72989,-73.98423,Checked,1006478,1004530034
Manhattan,1,1,01M020,P.S. 020 Anna Silver,Elementary,M020,P.S. 20 - MANHATTAN,166 ESSEX STREET,DOE Owned,122/24S,1080,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE,"166 ESSEX STREET, Manhattan, New York, NY, USA",40.721276,-73.986316,Checked,1004325,1003550001
Manhattan,1,1,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - MANHATTAN,121 EAST 3 STREET,DOE Owned,114,728,DANCE ROOM,FALSE,Inside,FALSE,"121 EAST 3 STREET, Manhattan, New York, NY, USA",40.724436,-73.986313,Checked,1005760,1004310014
Manhattan,1,1,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,600 EAST 6 STREET,DOE Owned,224,1650,MULTI-PURPOSE CLASSROOM,FALSE,Inside,TRUE,"600 EAST 6 STREET, Manhattan, New York, NY, USA",40.724144,-73.981602,Checked,1004627,1003870001
Manhattan,1,1,01M110,P.S. 110 Florence Nightingale,Elementary,M110,P.S. 110 - MANHATTAN,285 DELANCY STREET,DOE Owned,GYM,3367,GYMNASIUM,FALSE,Inside,FALSE,"285 DELANCY STREET, Manhattan, New York, NY, USA",40.715416,-73.979994,Checked,1004066,1003310140
Manhattan,1,1,01M134,P.S. 134 Henrietta Szold,Elementary,M134,P.S. 134 - MANHATTAN,293 EAST BROADWAY,DOE Owned,140,920,DANCE ROOM,FALSE,Inside,FALSE,"293 EAST BROADWAY, Manhattan, New York, NY, USA",40.714328,-73.982978,Checked,1003736,1002880015
Manhattan,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - MANHATTAN,100 ATTORNEY STREET,DOE Owned,140,3000,GYMNASIUM,TRUE,Inside,FALSE,"100 ATTORNEY STREET, Manhattan, New York, NY, USA",40.718226,-73.984085,Checked,1004080,1003430001
Manhattan,1,1,01M315,The East Village Community School,Elementary,M061,P.S. 61 - MANHATTAN,610 EAST 12 STREET,DOE Owned,412,728,AUXILIARY EXERCISE ROOM,FALSE,Inside,FALSE,"610 EAST 12 STREET, Manhattan, New York, NY, USA",40.72763,-73.978427,Checked,1079053,1003940012
Manhattan,1,1,01M363,Neighborhood School,Elementary,M063,P.S. 63 - MANHATTAN,121 EAST 3 STREET,DOE Owned,417,1500,GYMNASIUM,TRUE,Inside,FALSE,"121 EAST 3 STREET, Manhattan, New York, NY, USA",40.724436,-73.986313,Checked,1005760,1004310014
Manhattan,1,1,01M364,Earth School,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,600 EAST 6 STREET,DOE Owned,B53,6336,GYMNASIUM,TRUE,Inside,FALSE,"600 EAST 6 STREET, Manhattan, New York, NY, USA",40.724144,-73.981602,Checked,1004627,1003870001
Manhattan,2,2,02M001,P.S. 001 Alfred E. Smith,Elementary,M001,P.S. 1 - MANHATTAN,8 HENRY STREET,DOE Owned,505,525,ADAPTIVE PHYSICAL EDUCATION,FALSE,Inside,FALSE,"8 HENRY STREET, Manhattan, New York, NY, USA",40.712556,-73.997478,Checked,1003375,1002790040
Manhattan,2,2,02M002,P.S. 002 Meyer London,Elementary,M002,P.S. 2 - MANHATTAN,122 HENRY STREET,DOE Owned,GYM.,3819,GYMNASIUM,FALSE,Inside,FALSE,"122 HENRY STREET, Manhattan, New York, NY, USA",40.712938,-73.991958,Checked,1003248,1002730001
Manhattan,2,2,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - MANHATTAN,490 HUDSON STREET,DOE Owned,402,945,DANCE ROOM,FALSE,Inside,FALSE,"490 HUDSON STREET, Manhattan, New York, NY, USA",40.732632,-74.005975,Unchecked,1009872,1005850041
Manhattan,2,2,02M006,P.S. 006 Lillie D. Blake,Elementary,M006,P.S. 6 - MANHATTAN,45 EAST 81 STREET,DOE Owned,GYM,3710,GYMNASIUM,FALSE,Inside,FALSE,"45 EAST 81 STREET, Manhattan, New York, NY, USA",40.777702,-73.960731,Checked,1046668,1014930021
