School Year,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Borough Name,Postcode,Latitude,Longitude
2015-16,M005,06M005,P.S. 005 Ellen Lurie,M005,3703 TENTH AVENUE,M,,631,,1,P.S. 005 Ellen Lurie,MANHATTAN,10034,40.85899,-73.922894
2015-16,K932,79X695,PASSAGES ACADEMY AT BELMONT(BN),X695,560 BROOK AVENUE,K,7,254,,1,PASSAGES ACADEMY AT BELMONT(BN),,,,
2015-16,L001,75Q256,P.S. Q256,Q256,525 CONVENT ROAD,O,0,501,,1,P.S. Q256,,,,
2015-16,M001,02M001,P.S. 001 Alfred E. Smith,M001,8 HENRY STREET,M,2,400,,1,P.S. 001 Alfred E. Smith,MANHATTAN,10038,40.71276,-73.997489
2015-16,M002,02M002,P.S. 002 Meyer London,M002,122 HENRY STREET,M,2,672,,1,P.S. 002 Meyer London,MANHATTAN,10002,40.713273,-73.991339
2015-16,M003,02M003,P.S. 003 Charrette School,M003,490 HUDSON STREET,M,2,789,,1,P.S. 003 Charrette School,MANHATTAN,10014,40.732593,-74.006466
2015-16,M004,06M004,P.S. 004 Duke Ellington,M004,500 WEST 160 STREET,M,6,655,,1,P.S. 004 Duke Ellington,MANHATTAN,10032,40.834899,-73.941085
2015-16,M006,02M006,P.S. 006 Lillie D. Blake,M006,45 EAST  81 STREET,M,2,700,,1,P.S. 006 Lillie D. Blake,MANHATTAN,10028,40.777455,-73.960713
2015-16,M007,04M007,P.S. 007 Samuel Stern,M007,160 EAST 120 STREET,M,4,372,160 EAST 120 STREET CONSOLIDATED LOCATION,2,P.S. 007 Samuel Stern |  Global Technology Preparatory |  160 EAST 120 STREET CONSOLIDATED LOCATION,MANHATTAN,10035,40.801007,-73.939349
2015-16,M007,04M406,Global Technology Preparatory,M406,160 EAST 120 STREET,M,4,156,160 EAST 120 STREET CONSOLIDATED LOCATION,2,P.S. 007 Samuel Stern |  Global Technology Preparatory |  160 EAST 120 STREET CONSOLIDATED LOCATION,MANHATTAN,10035,40.801007,-73.939349
2015-16,M007,,160 EAST 120 STREET CONSOLIDATED LOCATION,,160 EAST 120 STREET,M,4,528,160 EAST 120 STREET CONSOLIDATED LOCATION,2,P.S. 007 Samuel Stern |  Global Technology Preparatory |  160 EAST 120 STREET CONSOLIDATED LOCATION,MANHATTAN,10035,40.801007,-73.939349
2015-16,M008,06M008,P.S. 008 Luis Belliard,M008,465 WEST 167 STREET,M,6,558,,1,P.S. 008 Luis Belliard,MANHATTAN,10032,40.838954,-73.936838
2015-16,M009,03M009,P.S. 009 Sarah Anderson,M009,100 WEST  84 STREET,M,3,611,100 WEST  84 STREET CONSOLIDATED LOCATION,2,P.S. 009 Sarah Anderson |  M.S. 243 Center School |  100 WEST  84 STREET CONSOLIDATED LOCATION,MANHATTAN,10024,40.785287,-73.97343
2015-16,M009,03M243,M.S. 243 Center School,M243,100 WEST  84 STREET,M,3,236,100 WEST  84 STREET CONSOLIDATED LOCATION,2,P.S. 009 Sarah Anderson |  M.S. 243 Center School |  100 WEST  84 STREET CONSOLIDATED LOCATION,MANHATTAN,10024,40.785287,-73.97343
2015-16,M009,,100 WEST  84 STREET CONSOLIDATED LOCATION,,100 WEST  84 STREET,M,3,847,100 WEST  84 STREET CONSOLIDATED LOCATION,2,P.S. 009 Sarah Anderson |  M.S. 243 Center School |  100 WEST  84 STREET CONSOLIDATED LOCATION,MANHATTAN,10024,40.785287,-73.97343
2015-16,M010,05M499,Frederick Douglass Academy,M499,2581 7TH AVENUE,M,5,1409,,1,Frederick Douglass Academy,MANHATTAN,10039,40.824319,-73.93712
2015-16,M011,02M011,P.S. 011 William T. Harris,M011,320 WEST  21 STREET,M,2,921,,1,P.S. 011 William T. Harris,MANHATTAN,10011,40.744349,-74.000253
2015-16,M013,04M013,J.H.S. 013 Jackie Robinson,M013,1573 MADISON AVENUE,M,4,N/A,1573 MADISON AVENUE CONSOLIDATED LOCATION,5,J.H.S. 013 Jackie Robinson|  Central Park East I|  Central Park East High School|  East Harlem Scholars Academy Charter School II|  East Harlem Scholars Academy Charter School|  1573 MADISON AVENUE CONSOLIDATED LOCATION,MANHATTAN,10029,40.793763,-73.949381
2015-16,M013,04M497,Central Park East I,M497,1573 MADISON AVENUE,M,4,201,1573 MADISON AVENUE CONSOLIDATED LOCATION,5,J.H.S. 013 Jackie Robinson|  Central Park East I|  Central Park East High School|  East Harlem Scholars Academy Charter School II|  East Harlem Scholars Academy Charter School|  1573 MADISON AVENUE CONSOLIDATED LOCATION,MANHATTAN,10029,40.793763,-73.949381
2015-16,M013,84M518,EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL(MN),M518,1573 MADISON AVENUE,M,4,320,1573 MADISON AVENUE CONSOLIDATED LOCATION,5,J.H.S. 013 Jackie Robinson|  Central Park East I|  Central Park East High School|  East Harlem Scholars Academy Charter School II|  East Harlem Scholars Academy Charter School|  1573 MADISON AVENUE CONSOLIDATED LOCATION,MANHATTAN,10029,40.793763,-73.949381
2015-16,M013,04M555,Central Park East High School,M555,1573 MADISON AVENUE,M,4,470,1573 MADISON AVENUE CONSOLIDATED LOCATION,5,J.H.S. 013 Jackie Robinson|  Central Park East I|  Central Park East High School|  East Harlem Scholars Academy Charter School II|  East Harlem Scholars Academy Charter School|  1573 MADISON AVENUE CONSOLIDATED LOCATION,MANHATTAN,10029,40.793763,-73.949381
2015-16,M030,05M030,P.S. 030 Hernandez/Hughes,M030,144-176 EAST 128 STREET,M,5,285,144-176 EAST 128 STREET CONSOLIDATED LOCATION,3,P.S. 030 Hernandez/Hughes|  P.S. 138|  Success Academy Charter School - Harlem 2|  144-176 EAST 128 STREET CONSOLIDATED LOCATION,MANHATTAN,10035,40.805953,-73.935179
2015-16,M013,84M168      ,East Harlem Scholars Academy Charter School II,M168,1573 MADISON AVENUE,M,4,248,1573 MADISON AVENUE CONSOLIDATED LOCATION,5,J.H.S. 013 Jackie Robinson|  Central Park East I|  Central Park East High School|  East Harlem Scholars Academy Charter School II|  East Harlem Scholars Academy Charter School|  1573 MADISON AVENUE CONSOLIDATED LOCATION,MANHATTAN,10029,40.793763,-73.949381
2015-16,M013,,1573 MADISON AVENUE CONSOLIDATED LOCATION,,1573 MADISON AVENUE,M,4,1239,1573 MADISON AVENUE CONSOLIDATED LOCATION,5,J.H.S. 013 Jackie Robinson|  Central Park East I|  Central Park East High School|  East Harlem Scholars Academy Charter School II|  East Harlem Scholars Academy Charter School|  1573 MADISON AVENUE CONSOLIDATED LOCATION,MANHATTAN,10029,40.793763,-73.949381
2015-16,M015,01M015,P.S. 015 Roberto Clemente,M015,333 EAST  4 STREET,M,1,176,,1,P.S. 015 Roberto Clemente,MANHATTAN,10009,40.721807,-73.979022
2015-16,M017,02M212,P.S. 212 Midtown West,M212,328 WEST  48 STREET,M,2,378,328 WEST  48 STREET CONSOLIDATED LOCATION,2,P.S. 212 Midtown West |  Professional Performing Arts High School |  328 WEST  48 STREET CONSOLIDATED LOCATION,MANHATTAN,10036,40.761448,-73.988019
2015-16,M017,02M408,Professional Performing Arts High School,M408,328 WEST  48 STREET,M,2,546,328 WEST  48 STREET CONSOLIDATED LOCATION,2,P.S. 212 Midtown West |  Professional Performing Arts High School |  328 WEST  48 STREET CONSOLIDATED LOCATION,MANHATTAN,10036,40.761448,-73.988019
